Feature_name,mean_mae,sd,rank,mean_within_mae,within_sd,within_rank
wavelet-LLH_firstorder_Energy,9.668321195294438e-18,2.47458163150324e-17,1,7.980554048291396e-18,2.0380468027822832e-17,1
wavelet-LLH_firstorder_TotalEnergy,7.661102163341607e-18,1.813541289899605e-17,1,6.209450942846961e-18,1.4634689730886308e-17,1
wavelet-LHH_firstorder_Energy,0,0,1,0,0,1
wavelet-LHH_firstorder_TotalEnergy,0,0,1,0,0,1
wavelet-HLH_firstorder_Energy,0,0,1,0,0,1
wavelet-HLH_firstorder_TotalEnergy,0,0,1,0,0,1
wavelet-HHH_firstorder_Energy,0,0,1,0,0,1
wavelet-HHH_firstorder_TotalEnergy,0,0,1,0,0,1
wavelet-HHH_gldm_GrayLevelNonUniformity,0.02238924505066023,0.01083723089056278,3,0.022592672176029185,0.011215217490220352,4
original_firstorder_Energy,0.059841281256337794,0.07368483558301998,6,0.03136865264840079,0.015974120035746824,5
original_firstorder_TotalEnergy,0.059841281256337794,0.07368483558302,5,0.03136865264840079,0.015974120035746824,5
wavelet-LHL_firstorder_TotalEnergy,0.06780582159082144,0.03853874136265362,12,0.06175453317953616,0.035836135919756595,17
wavelet-LHL_firstorder_Energy,0.06780582159082144,0.03853874136265361,11,0.06175453317953615,0.03583613591975658,17
wavelet-LLL_firstorder_Energy,0.09448648607357052,0.12908599574601276,12,0.04532636458780339,0.031076759339325768,9
wavelet-LLL_firstorder_TotalEnergy,0.09448648607357052,0.12908599574601276,12,0.04532636458780339,0.031076759339325764,9
wavelet-HHL_firstorder_Energy,0.050641116172352445,0.03340668061655608,6,0.03140029515158032,0.015878738424740784,5
wavelet-HHL_firstorder_TotalEnergy,0.050641116172352445,0.03340668061655607,6,0.03140029515158032,0.015878738424740788,6
wavelet-HLL_firstorder_TotalEnergy,0.10011563297480368,0.09111714947008806,17,0.07762790530712355,0.05177117151597558,24
wavelet-HLL_firstorder_Energy,0.10011563297480368,0.09111714947008806,16,0.07762790530712353,0.0517711715159756,25
wavelet-LLL_firstorder_Mean,0.25470329038140893,0.9326460279670974,21,0.0668521505464185,0.05090753436747641,14
wavelet-LLL_firstorder_RootMeanSquared,0.2377772550747288,0.8270413190200944,22,0.06346307838437494,0.040884914732437924,13
original_firstorder_Mean,0.35584323336454876,1.5445300269416136,20,0.07274175899608364,0.06726467714153583,16
wavelet-HLL_firstorder_RootMeanSquared,0.12626381346048804,0.18357071940434902,19,0.08586232788368485,0.07184323625172451,25
original_firstorder_RootMeanSquared,0.32663167651186015,1.3871037604413456,17,0.07155982338924273,0.06170755054938045,15
