filter,feature_class,Feature_name,mae.y,rank
lbp-2D,firstorder,lbp-2D_firstorder_10Percentile,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_90Percentile,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_Energy,0.0011173758703258612,4
lbp-2D,firstorder,lbp-2D_firstorder_Entropy,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_InterquartileRange,0.49135647663880666,525
lbp-2D,firstorder,lbp-2D_firstorder_Kurtosis,0.4778791531321808,515
lbp-2D,firstorder,lbp-2D_firstorder_Maximum,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_Mean,0.5090785360693735,544
lbp-2D,firstorder,lbp-2D_firstorder_MeanAbsoluteDeviation,0.505582339028685,539
lbp-2D,firstorder,lbp-2D_firstorder_Median,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_Minimum,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_Range,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_RobustMeanAbsoluteDeviation,0.505582339028685,539
lbp-2D,firstorder,lbp-2D_firstorder_RootMeanSquared,0.5089341376425042,543
lbp-2D,firstorder,lbp-2D_firstorder_Skewness,0.6067940901302028,596
lbp-2D,firstorder,lbp-2D_firstorder_TotalEnergy,0.0011173758703258612,4
lbp-2D,firstorder,lbp-2D_firstorder_Uniformity,NA,NA
lbp-2D,firstorder,lbp-2D_firstorder_Variance,0.5753643843188592,582
lbp-2D,glcm,lbp-2D_glcm_Autocorrelation,NA,NA
lbp-2D,glcm,lbp-2D_glcm_ClusterProminence,NA,NA
lbp-2D,glcm,lbp-2D_glcm_ClusterShade,NA,NA
lbp-2D,glcm,lbp-2D_glcm_ClusterTendency,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Contrast,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Correlation,NA,NA
lbp-2D,glcm,lbp-2D_glcm_DifferenceAverage,NA,NA
lbp-2D,glcm,lbp-2D_glcm_DifferenceEntropy,NA,NA
lbp-2D,glcm,lbp-2D_glcm_DifferenceVariance,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Id,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Idm,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Idmn,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Idn,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Imc1,NA,NA
lbp-2D,glcm,lbp-2D_glcm_Imc2,NA,NA
lbp-2D,glcm,lbp-2D_glcm_InverseVariance,NA,NA
lbp-2D,glcm,lbp-2D_glcm_JointAverage,NA,NA
lbp-2D,glcm,lbp-2D_glcm_JointEnergy,NA,NA
lbp-2D,glcm,lbp-2D_glcm_JointEntropy,NA,NA
lbp-2D,glcm,lbp-2D_glcm_MaximumProbability,NA,NA
lbp-2D,glcm,lbp-2D_glcm_SumEntropy,NA,NA
lbp-2D,glcm,lbp-2D_glcm_SumSquares,NA,NA
lbp-2D,gldm,lbp-2D_gldm_DependenceEntropy,0,1
lbp-2D,gldm,lbp-2D_gldm_DependenceNonUniformity,0,1
lbp-2D,gldm,lbp-2D_gldm_DependenceNonUniformityNormalized,0,1
lbp-2D,gldm,lbp-2D_gldm_DependenceVariance,0,1
lbp-2D,gldm,lbp-2D_gldm_GrayLevelNonUniformity,0,1
lbp-2D,gldm,lbp-2D_gldm_GrayLevelVariance,NA,NA
lbp-2D,gldm,lbp-2D_gldm_HighGrayLevelEmphasis,NA,NA
lbp-2D,gldm,lbp-2D_gldm_LargeDependenceEmphasis,0,1
lbp-2D,gldm,lbp-2D_gldm_LargeDependenceHighGrayLevelEmphasis,0,1
lbp-2D,gldm,lbp-2D_gldm_LargeDependenceLowGrayLevelEmphasis,0,1
lbp-2D,gldm,lbp-2D_gldm_LowGrayLevelEmphasis,NA,NA
lbp-2D,gldm,lbp-2D_gldm_SmallDependenceEmphasis,0,1
lbp-2D,gldm,lbp-2D_gldm_SmallDependenceHighGrayLevelEmphasis,0,1
lbp-2D,gldm,lbp-2D_gldm_SmallDependenceLowGrayLevelEmphasis,0,1
lbp-2D,glrlm,lbp-2D_glrlm_GrayLevelNonUniformity,0,1
lbp-2D,glrlm,lbp-2D_glrlm_GrayLevelNonUniformityNormalized,NA,NA
lbp-2D,glrlm,lbp-2D_glrlm_GrayLevelVariance,NA,NA
lbp-2D,glrlm,lbp-2D_glrlm_HighGrayLevelRunEmphasis,NA,NA
lbp-2D,glrlm,lbp-2D_glrlm_LongRunEmphasis,0,1
