Feature_name	mean_mae	sd	rank	mean_within_mae	within_sd	within_rank
lbp-2D_glrlm_GrayLevelNonUniformity	0	0	1	0	0	1
lbp-2D_glrlm_LongRunEmphasis	0	0	1	0	0	1
lbp-2D_glrlm_LongRunHighGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glrlm_LongRunLowGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glrlm_RunEntropy	0	0	1	0	0	1
lbp-2D_glrlm_RunLengthNonUniformity	0	0	1	0	0	1
lbp-2D_glrlm_RunLengthNonUniformityNormalized	0	0	1	0	0	1
lbp-2D_glrlm_RunPercentage	0	0	1	0	0	1
lbp-2D_glrlm_RunVariance	0	0	1	0	0	1
lbp-2D_glrlm_ShortRunEmphasis	0	0	1	0	0	1
lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glszm_LargeAreaEmphasis	0	0	1	0	0	1
lbp-2D_glszm_LargeAreaHighGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glszm_LargeAreaLowGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glszm_SmallAreaEmphasis	0	0	1	0	0	1
lbp-2D_glszm_SmallAreaHighGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glszm_SmallAreaLowGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_glszm_ZonePercentage	0	0	1	0	0	1
lbp-2D_gldm_DependenceEntropy	0	0	1	0	0	1
lbp-2D_gldm_DependenceNonUniformity	0	0	1	0	0	1
lbp-2D_gldm_DependenceNonUniformityNormalized	0	0	1	0	0	1
lbp-2D_gldm_DependenceVariance	0	0	1	0	0	1
lbp-2D_gldm_GrayLevelNonUniformity	0	0	1	0	0	1
lbp-2D_gldm_LargeDependenceEmphasis	0	0	1	0	0	1
lbp-2D_gldm_LargeDependenceHighGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_gldm_LargeDependenceLowGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_gldm_SmallDependenceEmphasis	0	0	1	0	0	1
lbp-2D_gldm_SmallDependenceHighGrayLevelEmphasis	0	0	1	0	0	1
lbp-2D_gldm_SmallDependenceLowGrayLevelEmphasis	0	0	1	0	0	1
wavelet-LLH_firstorder_Energy	8.826883357727763e-18	3.636129847134333e-17	1	8.256097177668637e-18	3.4860402247270644e-17	1
wavelet-LLH_firstorder_TotalEnergy	9.720930246295839e-18	3.8910374780655173e-17	1	9.080895084247068e-18	3.790345375466013e-17	1
wavelet-LHH_firstorder_Energy	0	0	1	0	0	1
wavelet-LHH_firstorder_TotalEnergy	0	0	1	0	0	1
wavelet-HLH_firstorder_Energy	0	0	1	0	0	1
wavelet-HLH_firstorder_TotalEnergy	0	0	1	0	0	1
wavelet-HHH_firstorder_Energy	0	0	1	0	0	1
wavelet-HHH_firstorder_TotalEnergy	0	0	1	0	0	1
lbp-2D_firstorder_Energy	0.003116269402742386	0.003259504065406829	2	0.0019630014818633108	0.0013813900278775882	2
lbp-2D_firstorder_TotalEnergy	0.003116269402742386	0.003259504065406829	2	0.0019630014818633108	0.0013813900278775882	2
wavelet-HHH_gldm_GrayLevelNonUniformity	0.029655205192480893	0.02505030330028945	4	0.029194102496390435	0.02447852782222756	5
original_firstorder_Energy	0.06899577808923459	0.07920193124378797	8	0.0458601811896216	0.038758299242834665	7
original_firstorder_TotalEnergy	0.0689957780892346	0.07920193124378798	7	0.0458601811896216	0.038758299242834665	7
wavelet-LLL_firstorder_TotalEnergy	0.10108471501276238	0.11183257474637719	14	0.06661244976461274	0.05753976584181571	13
wavelet-LLL_firstorder_Energy	0.10108471501276238	0.11183257474637719	14	0.06661244976461274	0.05753976584181571	13
original_firstorder_RootMeanSquared	0.18605060513087177	0.7563647309819191	20	0.0854929945168006	0.06773379330089695	21
wavelet-LLL_firstorder_RootMeanSquared	0.149673160228424	0.4544640580111984	20	0.07744399450120444	0.05796400957587466	18
wavelet-LHL_firstorder_TotalEnergy	0.07102048203361627	0.058465190005356174	11	0.061359202808415524	0.04689615733018675	14
wavelet-LHL_firstorder_Energy	0.07102048203361627	0.05846519000535618	11	0.061359202808415524	0.046896157330186754	14
original_firstorder_Mean	0.1889721964122351	0.8395606992655401	21	0.08710894297743162	0.0699351225675214	21
wavelet-LLL_firstorder_Mean	0.1554630252439768	0.5104563381558153	21	0.08188361547492548	0.06274052370196076	19
wavelet-LLL_firstorder_Median	0.17374838879032428	0.35084741637864664	35	0.1168168469681026	0.08523579181703843	47
wavelet-HHL_firstorder_Energy	0.06172034270686186	0.06052526069700847	7	0.036820687603859724	0.029163902996073354	6
