feature	val_acc	test_acc	rank
lbp-2D_firstorder_Energy	0.2780487804878049	0.3	2
lbp-2D_firstorder_Kurtosis	0.2926829268292683	0.4	224
lbp-2D_firstorder_Mean	0.3121951219512195	0.15	271
lbp-2D_firstorder_MeanAbsoluteDeviation	0.2097560975609756	0.15	391
lbp-2D_firstorder_RobustMeanAbsoluteDeviation	0.1902439024390244	0.15	430
lbp-2D_firstorder_RootMeanSquared	0.3146341463414634	0.15	273
lbp-2D_firstorder_Skewness	0.28292682926829266	0.1	263
lbp-2D_firstorder_TotalEnergy	0.2780487804878049	0.3	2
lbp-2D_firstorder_Variance	0.3207317073170732	0.1	373
lbp-2D_gldm_DependenceEntropy	0.4	0.4	1
lbp-2D_gldm_DependenceNonUniformity	0.3	0.3	1
lbp-2D_gldm_DependenceNonUniformityNormalized	0.4	0.35	1
lbp-2D_gldm_DependenceVariance	0.45	0.25	1
lbp-2D_gldm_GrayLevelNonUniformity	0.35	0.35	1
lbp-2D_gldm_LargeDependenceEmphasis	0.35	0.5	1
lbp-2D_gldm_LargeDependenceHighGrayLevelEmphasis	0.35	0.5	1
lbp-2D_gldm_LargeDependenceLowGrayLevelEmphasis	0.35	0.5	1
lbp-2D_gldm_SmallDependenceEmphasis	0.3	0.4	1
lbp-2D_gldm_SmallDependenceHighGrayLevelEmphasis	0.3	0.4	1
lbp-2D_gldm_SmallDependenceLowGrayLevelEmphasis	0.3	0.4	1
lbp-2D_glrlm_GrayLevelNonUniformity	0.15	0.2	1
lbp-2D_glrlm_LongRunEmphasis	0.25	0.55	1
lbp-2D_glrlm_LongRunHighGrayLevelEmphasis	0.25	0.55	1
lbp-2D_glrlm_LongRunLowGrayLevelEmphasis	0.25	0.55	1
lbp-2D_glrlm_RunEntropy	0.15	0.25	1
lbp-2D_glrlm_RunLengthNonUniformity	0.25	0.25	1
lbp-2D_glrlm_RunLengthNonUniformityNormalized	0.2	0.35	1
lbp-2D_glrlm_RunPercentage	0.25	0.45	1
lbp-2D_glrlm_RunVariance	0.25	0.3	1
lbp-2D_glrlm_ShortRunEmphasis	0.5	0.45	1
lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis	0.5	0.45	1
lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis	0.5	0.45	1
lbp-2D_glszm_LargeAreaEmphasis	0.2	0.3	1
lbp-2D_glszm_LargeAreaHighGrayLevelEmphasis	0.2	0.3	1
lbp-2D_glszm_LargeAreaLowGrayLevelEmphasis	0.2	0.3	1
lbp-2D_glszm_SmallAreaEmphasis	0.4	0.4	1
lbp-2D_glszm_SmallAreaHighGrayLevelEmphasis	0.4	0.4	1
lbp-2D_glszm_SmallAreaLowGrayLevelEmphasis	0.4	0.4	1
lbp-2D_glszm_ZonePercentage	0.4	0.4	1
original_firstorder_10Percentile	0.2707317073170732	0.25	279
original_firstorder_90Percentile	0.24146341463414633	0.3	137
original_firstorder_Energy	0.24146341463414633	0.3	8
original_firstorder_Entropy	0.2658536585365854	0.3	466
original_firstorder_InterquartileRange	0.32439024390243903	0.15	485
original_firstorder_Kurtosis	0.25	0.25	157
original_firstorder_Maximum	0.1878048780487805	0.35	160
original_firstorder_Mean	0.33414634146341465	0.3	21
original_firstorder_MeanAbsoluteDeviation	0.23658536585365852	0.25	361
original_firstorder_Median	0.09268292682926829	0.3	50
original_firstorder_Minimum	0.1902439024390244	0.35	682
original_firstorder_Range	0.22195121951219512	0.35	253
original_firstorder_RobustMeanAbsoluteDeviation	0.28292682926829266	0.25	471
original_firstorder_RootMeanSquared	0.19390243902439025	0.05	20
original_firstorder_Skewness	0.22195121951219512	0.35	197
original_firstorder_TotalEnergy	0.24146341463414633	0.3	7
original_firstorder_Uniformity	0.21707317073170732	0.3	355
original_firstorder_Variance	0.4121951219512195	0.2	268
original_glcm_Autocorrelation	0.19390243902439025	0.15	690
original_glcm_ClusterProminence	0.3878048780487805	0.2	119
original_glcm_ClusterShade	0.2804878048780488	0.2	111
original_glcm_ClusterTendency	0.3121951219512195	0.2	185
original_glcm_Contrast	0.30609756097560975	0.2	640
original_glcm_Correlation	0.25121951219512195	0.15	260
original_glcm_DifferenceAverage	0.2634146341463415	0.25	716
original_glcm_DifferenceEntropy	0.2597560975609756	0.4	630
original_glcm_DifferenceVariance	0.2804878048780488	0.4	258
original_glcm_Id	0.3170731707317073	0.35	684
original_glcm_Idm	0.29878048780487804	0.2	680
original_glcm_Idmn	0.2731707317073171	0.35	618
original_glcm_Idn	0.30365853658536585	0.35	653
original_glcm_Imc1	0.3402439024390244	0.25	219
original_glcm_Imc2	0.3073170731707317	0.2	212
original_glcm_InverseVariance	0.27195121951219514	0.35	699
original_glcm_JointAverage	0.14390243902439023	0.15	672
original_glcm_JointEnergy	0.325609756097561	0.2	391
original_glcm_JointEntropy	0.33170731707317075	0.2	599
original_glcm_MaximumProbability	0.26463414634146343	0.1	453
original_glcm_SumEntropy	0.24878048780487805	0.25	332
original_glcm_SumSquares	0.3231707317073171	0.2	343
original_gldm_DependenceEntropy	0.22439024390243903	0.25	374
original_gldm_DependenceNonUniformity	0.2707317073170732	0.2	778
original_gldm_DependenceNonUniformityNormalized	0.26707317073170733	0.2	734
original_gldm_DependenceVariance	0.3439024390243902	0.25	446
original_gldm_GrayLevelNonUniformity	0.32682926829268294	0.25	239
original_gldm_GrayLevelVariance	0.41097560975609754	0.2	269
original_gldm_HighGrayLevelEmphasis	0.17317073170731706	0.15	705
original_gldm_LargeDependenceEmphasis	0.3097560975609756	0.25	446
original_gldm_LargeDependenceHighGrayLevelEmphasis	0.2475609756097561	0.2	480
original_gldm_LargeDependenceLowGrayLevelEmphasis	0.25	0.2	263
original_gldm_LowGrayLevelEmphasis	0.21341463414634146	0.2	461
original_gldm_SmallDependenceEmphasis	0.2951219512195122	0.2	650
original_gldm_SmallDependenceHighGrayLevelEmphasis	0.2548780487804878	0.35	754
original_gldm_SmallDependenceLowGrayLevelEmphasis	0.25365853658536586	0.3	539
original_glrlm_GrayLevelNonUniformity	0.374390243902439	0.15	237
original_glrlm_GrayLevelNonUniformityNormalized	0.2280487804878049	0.25	365
original_glrlm_GrayLevelVariance	0.37317073170731707	0.3	283
original_glrlm_HighGrayLevelRunEmphasis	0.15	0.15	703
original_glrlm_LongRunEmphasis	0.2975609756097561	0.45	435
original_glrlm_LongRunHighGrayLevelEmphasis	0.16463414634146342	0.15	638
original_glrlm_LongRunLowGrayLevelEmphasis	0.25121951219512195	0.25	407
original_glrlm_LowGrayLevelRunEmphasis	0.20121951219512196	0.25	452
original_glrlm_RunEntropy	0.1524390243902439	0.25	371
original_glrlm_RunLengthNonUniformity	0.3646341463414634	0.25	609
original_glrlm_RunLengthNonUniformityNormalized	0.3170731707317073	0.2	565
original_glrlm_RunPercentage	0.2975609756097561	0.25	533
original_glrlm_RunVariance	0.3548780487804878	0.35	380
original_glrlm_ShortRunEmphasis	0.32439024390243903	0.3	524
original_glrlm_ShortRunHighGrayLevelEmphasis	0.17804878048780487	0.15	712
original_glrlm_ShortRunLowGrayLevelEmphasis	0.1878048780487805	0.25	467
original_glszm_GrayLevelNonUniformity	0.36097560975609755	0.1	342
original_glszm_GrayLevelNonUniformityNormalized	0.25121951219512195	0.15	410
original_glszm_GrayLevelVariance	0.28780487804878047	0.3	216
original_glszm_HighGrayLevelZoneEmphasis	0.14390243902439023	0.25	682
original_glszm_LargeAreaEmphasis	0.2841463414634146	0.3	236
original_glszm_LargeAreaHighGrayLevelEmphasis	0.3195121951219512	0.15	308
original_glszm_LargeAreaLowGrayLevelEmphasis	0.2548780487804878	0.2	226
original_glszm_LowGrayLevelZoneEmphasis	0.22073170731707317	0.3	473
original_glszm_SizeZoneNonUniformity	0.29878048780487804	0.2	761
original_glszm_SizeZoneNonUniformityNormalized	0.27195121951219514	0.25	647
original_glszm_SmallAreaEmphasis	0.27195121951219514	0.3	601
original_glszm_SmallAreaHighGrayLevelEmphasis	0.2329268292682927	0.3	707
original_glszm_SmallAreaLowGrayLevelEmphasis	0.18414634146341463	0.2	491
original_glszm_ZoneEntropy	0.20121951219512196	0.15	423
original_glszm_ZonePercentage	0.34512195121951217	0.15	599
original_glszm_ZoneVariance	0.2280487804878049	0.2	173
original_ngtdm_Busyness	0.24878048780487805	0.15	387
original_ngtdm_Coarseness	0.2634146341463415	0.2	384
original_ngtdm_Complexity	0.34146341463414637	0.2	670
original_ngtdm_Contrast	0.3121951219512195	0.2	558
original_ngtdm_Strength	0.3048780487804878	0.15	166
wavelet-HHH_firstorder_10Percentile	0.3073170731707317	0.2	724
wavelet-HHH_firstorder_90Percentile	0.22073170731707317	0.4	761
wavelet-HHH_firstorder_Energy	0.35	0.35	1
wavelet-HHH_firstorder_Entropy	0.25853658536585367	0.2	412
wavelet-HHH_firstorder_InterquartileRange	0.24146341463414633	0.3	766
wavelet-HHH_firstorder_Kurtosis	0.20853658536585365	0.1	355
wavelet-HHH_firstorder_Maximum	0.21341463414634146	0.35	618
wavelet-HHH_firstorder_Mean	0.18536585365853658	0.2	600
wavelet-HHH_firstorder_MeanAbsoluteDeviation	0.2451219512195122	0.2	749
wavelet-HHH_firstorder_Median	0.22439024390243903	0.3	714
wavelet-HHH_firstorder_Minimum	0.14634146341463414	0.2	640
wavelet-HHH_firstorder_Range	0.17804878048780487	0.25	630
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation	0.2817073170731707	0.25	766
wavelet-HHH_firstorder_Skewness	0.15609756097560976	0.15	392
wavelet-HHH_firstorder_TotalEnergy	0.35	0.35	1
wavelet-HHH_firstorder_Uniformity	0.25853658536585367	0.2	415
wavelet-HHH_firstorder_Variance	0.21097560975609755	0.35	744
wavelet-HHH_glcm_Autocorrelation	0.23414634146341465	0.15	529
wavelet-HHH_glcm_ClusterProminence	0.2804878048780488	0.25	559
wavelet-HHH_glcm_ClusterShade	0.2524390243902439	0.15	503
wavelet-HHH_glcm_ClusterTendency	0.2426829268292683	0.3	556
wavelet-HHH_glcm_Contrast	0.21585365853658536	0.2	552
wavelet-HHH_glcm_Correlation	0.18292682926829268	0.15	554
wavelet-HHH_glcm_DifferenceAverage	0.21585365853658536	0.2	552
wavelet-HHH_glcm_DifferenceEntropy	0.3024390243902439	0.15	743
wavelet-HHH_glcm_DifferenceVariance	0.29878048780487804	0.15	741
wavelet-HHH_glcm_Id	0.21585365853658536	0.2	554
wavelet-HHH_glcm_Idm	0.21585365853658536	0.2	554
wavelet-HHH_glcm_Idmn	0.21585365853658536	0.2	551
wavelet-HHH_glcm_Idn	0.21585365853658536	0.2	553
wavelet-HHH_glcm_Imc1	0.3097560975609756	0.2	743
wavelet-HHH_glcm_Imc2	0.2731707317073171	0.15	682
wavelet-HHH_glcm_InverseVariance	0.21585365853658536	0.2	552
wavelet-HHH_glcm_JointAverage	0.21707317073170732	0.2	532
wavelet-HHH_glcm_JointEnergy	0.348780487804878	0.15	711
wavelet-HHH_glcm_JointEntropy	0.3097560975609756	0.1	712
wavelet-HHH_glcm_MaximumProbability	0.2914634146341463	0.2	628
wavelet-HHH_glcm_SumEntropy	0.30365853658536585	0.15	662
wavelet-HHH_glcm_SumSquares	0.26707317073170733	0.4	421
wavelet-HHH_gldm_DependenceEntropy	0.27439024390243905	0.3	546
wavelet-HHH_gldm_DependenceNonUniformity	0.27682926829268295	0.25	528
wavelet-HHH_gldm_DependenceNonUniformityNormalized	0.3329268292682927	0.15	566
wavelet-HHH_gldm_DependenceVariance	0.22317073170731708	0.1	498
wavelet-HHH_gldm_GrayLevelNonUniformity	0.2658536585365854	0.3	4
wavelet-HHH_gldm_GrayLevelVariance	0.25853658536585367	0.2	414
wavelet-HHH_gldm_HighGrayLevelEmphasis	0.22439024390243903	0.1	529
wavelet-HHH_gldm_LargeDependenceEmphasis	0.348780487804878	0.35	259
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis	0.2682926829268293	0.2	353
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis	0.32439024390243903	0.2	509
wavelet-HHH_gldm_LowGrayLevelEmphasis	0.22439024390243903	0.1	528
wavelet-HHH_gldm_SmallDependenceEmphasis	0.2914634146341463	0.4	327
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis	0.25853658536585367	0.3	364
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis	0.31585365853658537	0.3	378
wavelet-HHH_glrlm_GrayLevelNonUniformity	0.11707317073170732	0.4	65
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized	0.28536585365853656	0.2	427
wavelet-HHH_glrlm_GrayLevelVariance	0.28536585365853656	0.2	428
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis	0.23780487804878048	0.15	504
wavelet-HHH_glrlm_LongRunEmphasis	0.3195121951219512	0.35	297
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis	0.3195121951219512	0.35	328
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis	0.2707317073170732	0.25	474
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis	0.23780487804878048	0.15	503
wavelet-HHH_glrlm_RunEntropy	0.3024390243902439	0.4	213
wavelet-HHH_glrlm_RunLengthNonUniformity	0.33414634146341465	0.35	475
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized	0.2890243902439024	0.5	249
wavelet-HHH_glrlm_RunPercentage	0.23170731707317074	0.3	232
wavelet-HHH_glrlm_RunVariance	0.29634146341463413	0.45	432
wavelet-HHH_glrlm_ShortRunEmphasis	0.3	0.5	257
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis	0.23658536585365852	0.3	350
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis	0.2975609756097561	0.3	376
wavelet-HHH_glszm_GrayLevelNonUniformity	0.2804878048780488	0.25	443
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized	0.19878048780487806	0.3	535
wavelet-HHH_glszm_GrayLevelVariance	0.19878048780487806	0.3	534
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis	0.18658536585365854	0.25	593
wavelet-HHH_glszm_LargeAreaEmphasis	0.24146341463414633	0.2	443
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis	0.2524390243902439	0.45	408
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis	0.23658536585365852	0	487
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis	0.18658536585365854	0.25	593
wavelet-HHH_glszm_SizeZoneNonUniformity	0.26463414634146343	0.3	434
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized	0.2634146341463415	0.25	540
wavelet-HHH_glszm_SmallAreaEmphasis	0.2804878048780488	0.15	600
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis	0.21707317073170732	0.2	597
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis	0.23170731707317074	0.35	575
wavelet-HHH_glszm_ZoneEntropy	0.26097560975609757	0.35	527
wavelet-HHH_glszm_ZonePercentage	0.2926829268292683	0.3	306
wavelet-HHH_glszm_ZoneVariance	0.2914634146341463	0.25	391
wavelet-HHH_ngtdm_Busyness	0.28292682926829266	0.1	549
wavelet-HHH_ngtdm_Coarseness	0.25	0.35	100
wavelet-HHH_ngtdm_Complexity	0.2597560975609756	0.15	565
wavelet-HHH_ngtdm_Contrast	0.2682926829268293	0.2	552
wavelet-HHH_ngtdm_Strength	0.20243902439024392	0.35	99
wavelet-HHL_firstorder_10Percentile	0.1902439024390244	0.2	709
wavelet-HHL_firstorder_90Percentile	0.24878048780487805	0.3	761
wavelet-HHL_firstorder_Energy	0.2073170731707317	0.45	7
wavelet-HHL_firstorder_Entropy	0.21951219512195122	0.4	669
wavelet-HHL_firstorder_InterquartileRange	0.26097560975609757	0.3	771
wavelet-HHL_firstorder_Kurtosis	0.23902439024390243	0.15	328
wavelet-HHL_firstorder_Maximum	0.10365853658536585	0.4	475
wavelet-HHL_firstorder_Mean	0.19390243902439025	0.05	233
wavelet-HHL_firstorder_MeanAbsoluteDeviation	0.22439024390243903	0.2	750
wavelet-HHL_firstorder_Median	0.23780487804878048	0.15	713
wavelet-HHL_firstorder_Minimum	0.2048780487804878	0.3	557
wavelet-HHL_firstorder_Range	0.18536585365853658	0.1	519
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation	0.35	0.35	768
