filter,feature_class,feature,Feature_name,mae,rank
lbp-2D,firstorder,10Percentile,lbp-2D_firstorder_10Percentile,0.038227638818285094,16
lbp-2D,firstorder,90Percentile,lbp-2D_firstorder_90Percentile,0.053921203692188766,23
lbp-2D,firstorder,Energy,lbp-2D_firstorder_Energy,6.550825441030841e-4,2
lbp-2D,firstorder,Entropy,lbp-2D_firstorder_Entropy,NA,NA
lbp-2D,firstorder,InterquartileRange,lbp-2D_firstorder_InterquartileRange,0.1950799959692929,274
lbp-2D,firstorder,Kurtosis,lbp-2D_firstorder_Kurtosis,0.3848921164631186,663
lbp-2D,firstorder,Maximum,lbp-2D_firstorder_Maximum,0.026602736828786572,12
lbp-2D,firstorder,Mean,lbp-2D_firstorder_Mean,0.36971427582185673,643
lbp-2D,firstorder,MeanAbsoluteDeviation,lbp-2D_firstorder_MeanAbsoluteDeviation,0.2605419122023659,432
lbp-2D,firstorder,Median,lbp-2D_firstorder_Median,0.29620875528973056,514
lbp-2D,firstorder,Minimum,lbp-2D_firstorder_Minimum,NA,NA
lbp-2D,firstorder,Range,lbp-2D_firstorder_Range,0.026602736828786572,12
lbp-2D,firstorder,RobustMeanAbsoluteDeviation,lbp-2D_firstorder_RobustMeanAbsoluteDeviation,0.2822055104467184,479
lbp-2D,firstorder,RootMeanSquared,lbp-2D_firstorder_RootMeanSquared,0.36941085335276336,642
lbp-2D,firstorder,Skewness,lbp-2D_firstorder_Skewness,0.3104999909437536,552
lbp-2D,firstorder,TotalEnergy,lbp-2D_firstorder_TotalEnergy,6.550825441030841e-4,2
lbp-2D,firstorder,Uniformity,lbp-2D_firstorder_Uniformity,NA,NA
lbp-2D,firstorder,Variance,lbp-2D_firstorder_Variance,0.2442670107030229,389
lbp-2D,glcm,Autocorrelation,lbp-2D_glcm_Autocorrelation,NA,NA
lbp-2D,glcm,ClusterProminence,lbp-2D_glcm_ClusterProminence,NA,NA
lbp-2D,glcm,ClusterShade,lbp-2D_glcm_ClusterShade,NA,NA
lbp-2D,glcm,ClusterTendency,lbp-2D_glcm_ClusterTendency,NA,NA
lbp-2D,glcm,Contrast,lbp-2D_glcm_Contrast,NA,NA
lbp-2D,glcm,Correlation,lbp-2D_glcm_Correlation,NA,NA
